Car Name,Liters,Age,Distance,Price
Mercedes GLA 45 AMG 4MATIC,2.0,10,119000.0,43350.0
Land Rover RR Sport,3.0,5,80027.0,98600.0
Kia Cerato,1.6,13,265000.0,14500.0
Land Rover Range Rover,3.0,7,136000.0,108800.0
Nissan Note,1.2,10,850000.0,17000.0
BMW 528,2.0,9,154000.0,26900.0
Mitsubishi L200,2.5,10,390000.0,25500.0
Land Rover Range Rover,3.0,7,152888.0,93500.0
Mercedes G 63 AMG,4.0,7,92800.0,287300.0
Hyundai Sonata,2.0,17,211000.0,17600.0
Kia Rio,1.5,17,247543.0,11700.0
Mercedes E 220 d,2.2,14,294000.0,21900.0
Hyundai Grand Santa Fe,2.2,11,266600.0,27500.0
Land Rover Range Rover,3.0,1,4800.0,365500.0
Hyundai IONIQ,1.6,8,131200.0,21800.0
Toyota Land Cruiser,4.6,5,44000.0,139400.0
Hyundai Santa Fe,2.0,16,195000.0,21500.0
Daewoo Nexia,1.5,17,320000.0,4600.0
Hyundai Elantra,2.0,9,103000.0,23900.0
BMW 528,2.0,13,153000.0,27500.0
Changan Uni-Z,1.5,0,0.0,35400.0
Hyundai Santa Fe,2.4,12,124000.0,27000.0
Hyundai Elantra,2.0,9,97000.0,18500.0
Fiat Doblo,1.4,3,37379.0,30000.0
Volkswagen Touareg,3.2,22,185554.0,11000.0
Maserati Ghibli,3.0,10,95000.0,42498.299999999996
