Car Name,Attributes,Price,Currency
Mercedes Sprinter 315,"2009, 2.2 L, 250 000 km",27 500,AZN
BYD Destroyer 05,"2025, 1.5 L, 0 km",23 600,AZN
BMW 420,"2020, 2.0 L, 64 000 km",22 000,$
Kia Sorento,"2015, 2.0 L, 99 500 km",34 500,AZN
Chevrolet Cobalt,"2022, 1.5 L, 85 000 km",29 000,AZN
Mercedes G 55 AMG,"2008, 5.5 L, 234 000 km",40 500,$
Hyundai Elantra,"2012, 1.8 L, 185 000 km",16 800,AZN
Kia Sorento,"2014, 2.0 L, 170 000 km",28 500,AZN
Mercedes E 220,"1995, 2.2 L, 398 000 km",10 200,AZN
Mitsubishi Pajero,"1995, 2.8 L, 450 000 km",7 900,AZN
Kia Forte,"2020, 2.0 L, 52 362 km",26 700,AZN
Toyota Land Cruiser,"2004, 4.5 L, 325 000 km",12 000,AZN
Renault Megane,"2008, 1.5 L, 314 000 km",6 900,AZN
Toyota Aqua,"2019, 1.5 L, 42 000 km",17 900,AZN
Kia Rio,"2006, 1.4 L, 300 000 km",9 800,AZN
Daewoo Gentra,"2014, 1.5 L, 345 000 km",8 800,AZN
LADA (VAZ) 2107,"2011, 1.6 L, 70 000 km",8 300,AZN
Mercedes E 220 d,"2018, 2.0 L, 136 000 km",30 900,$
Kia Sorento,"2015, 2.0 L, 117 000 km",34 500,AZN
Kia Sorento,"2017, 2.0 L, 170 000 km",36 700,AZN
Lexus ES 200,"2022, 2.0 L, 44 000 km",42 900,$
BYD Song Plus DM-İ,"2025, 1.5 L, 0 km",27 300,$
Hyundai Santa Fe,"2015, 2.0 L, 86 600 km",26 800,AZN
Toyota Prius,"2009, 1.8 L, 360 000 km",14 200,AZN
Hyundai Sonata,"2016, 2.0 L, 134 500 km",26 400,AZN
Hyundai Santa Fe,"2015, 2.0 L, 218 871 km",27 500,AZN
BMW 530,"2021, 2.0 L, 70 000 km",36 900,$
Toyota Land Cruiser Prado,"2014, 2.7 L, 107 000 km",29 800,$
BMW 528,"2012, 2.0 L, 227 000 km",27 900,AZN
Toyota Camry,"2021, 2.5 L, 135 000 km",42 000,AZN
Changan Qiyuan Q07,"2025, 1.5 L, 0 km",18 500,$
Land Rover Discovery,"2013, 3.0 L, 333 000 km",27 000,AZN
Ford Fusion (North America),"2020, 2.0 L, 186 165 km",25 900,AZN
Toyota Land Cruiser Prado,"2013, 2.7 L, 148 000 km",40 000,AZN
BMW XM,"2023, 4.4 L, 29 400 km",167 400,$
Land Rover RR Sport,"2014, 3.0 L, 280 000 km",28 500,$
Kawasaki Ninja ZX-14,"2022, 1400 sm3, 12 000 km",20 500,$
Kia Sorento,"2022, 1.6 L, 34 900 km",56 900,AZN
BMW 528,"2016, 2.0 L, 152 888 km",16 500,$
BMW 530e,"2018, 2.0 L, 52 300 km",30 000,$
Toyota Land Cruiser,"2011, 4.0 L, 198 000 km",44 000,AZN
Kia Sorento,"2007, 3.8 L, 270 000 km",13 700,AZN
Hyundai Elantra,"2013, 1.8 L, 100 000 km",22 000,AZN
Toyota Prius,"2016, 1.8 L, 165 762 km",22 900,AZN
BMW M3,"2017, 3.0 L, 92 300 km",65 000,$
Volkswagen Passat CC,"2012, 2.0 L, 224 000 km",14 900,AZN
Toyota Camry,"2012, 2.5 L, 172 000 km",23 400,AZN
Toyota Prius,"2016, 1.8 L, 165 762 km",22 900,AZN
Infiniti Q50,"2019, 2.0 L, 36 000 km",20 900,$
Mercedes E 220 d,"2016, 2.0 L, 127 000 km",46 000,AZN
BYD Seal 05,"2025, 1.5 L, 0 km",11 490,$
Toyota Land Cruiser Prado,"2014, 2.7 L, 107 000 km",29 800,$
Hyundai Sonata,"2012, 2.0 L, 126 412 km",17 700,AZN
BMW 420,"2015, 2.0 L, 171 000 km",17 800,$
BMW 520,"2017, 2.0 L, 171 570 km",58 700,AZN
BMW 520,"2014, 2.0 L, 200 000 km",34 500,AZN
Chevrolet Trax,"2017, 1.4 L, 56 000 km",19 700,AZN
Mitsubishi Pajero,"2007, 3.0 L, 202 000 km",22 500,AZN
Kia K5,"2015, 1.7 L, 179 000 km",25 900,AZN
Hyundai i30,"2009, 1.6 L, 223 000 km",16 900,AZN
MAN TGA 18.440,"2012, 12 L, 1 080 000 km",72 500,AZN
Land Rover Range Rover,"2013, 5.0 L, 178 000 km",33 900,$
Volkswagen Touareg,"2008, 3.6 L, 225 000 km",17 400,AZN
Hyundai Elantra,"2020, 2.0 L, 71 000 km",25 200,AZN
Kia K3,"2017, 1.6 L, 119 000 km",23 500,AZN
Mercedes S 500,"2010, 5.5 L, 244 000 km",21 500,$
Kia Sorento,"2017, 2.0 L, 170 000 km",36 700,AZN
Nissan X-Trail,"2020, 2.0 L, 29 000 km",40 000,AZN
Lexus ES 200,"2022, 2.0 L, 44 000 km",42 900,$
Lexus ES 300h,"2022, 2.5 L, 75 500 km",37 400,$
Mercedes E 250,"2018, 2.0 L, 41 900 km",41 500,$
Kia Sorento,"2015, 2.0 L, 117 000 km",34 500,AZN
Mercedes E 250,"2018, 2.5 L, 67 900 km",33 800,$
BMW X5,"2015, 3.0 L, 136 000 km",33 400,$
Leapmotor C11,"2023,  22 222 km",23 000,$
Kia Cerato,"2013, 1.6 L, 250 000 km",19 000,AZN
Hyundai Veracruz,"2008, 3.8 L, 265 000 km",19 500,AZN
Kia EV9,"2024,  16 000 km",50 900,$
Mini Cooper,"2012, 1.6 L, 71 795 km",14 900,$
Jeep Grand Cherokee,"2023, 2.0 L, 20 000 km",43 000,$
HOWO Sinotruk,"2023, 10 L, 0 km",94 000,AZN
Toyota Frontlander,"2025, 2.0 L, 0 km",39 200,AZN
Mercedes Viano,"2012, 3.0 L, 175 000 km",37 500,AZN
Kia Sorento,"2013, 2.0 L, 214 015 km",29 700,AZN
Land Rover Discovery,"2018, 3.0 L, 88 805 km",40 500,$
Toyota Land Cruiser Prado,"2006, 2.7 L, 164 000 km",26 500,AZN
Ford Transit,"2011, 2.4 L, 189 000 km",27 800,AZN
Toyota Land Cruiser Prado,"2011, 2.7 L, 136 000 km",36 500,AZN
Mercedes E 320,"1995, 3.2 L, 410 000 km",8 200,AZN
LADA (VAZ) Niva,"2025, 1.7 L, 4 000 km",21 900,AZN
Lexus LS 430,"2006, 4.3 L, 275 000 km",13 600,AZN
Mercedes E 200,"2007, 1.8 L, 222 000 km",23 500,AZN
Nissan Note,"2019, 1.2 L, 28 200 km",18 300,AZN
Kia K3,"2015, 1.6 L, 72 000 km",22 900,AZN
Hyundai i30,"2012, 1.6 L, 171 000 km",18 900,AZN
Mercedes C 200 d,"2018, 2.0 L, 97 000 km",39 000,AZN
BMW X5,"2006, 4.8 L, 235 300 km",19 500,AZN
Porsche Panamera 4S,"2014, 3.0 L, 101 000 km",35 500,$
BMW 530e,"2022, 2.0 L, 60 000 km",45 000,$
Kia Sorento,"2006, 2.5 L, 350 000 km",13 600,AZN
Hyundai i30,"2008, 1.6 L, 195 500 km",13 700,AZN
BMW 528,"2016, 2.0 L, 146 000 km",36 300,AZN
Hyundai Sonata,"2020, 1.6 L, 90 123 km",37 000,AZN
Nissan Note,"2016, 1.2 L, 30 000 km",15 200,AZN
Chevrolet Equinox,"2017, 1.5 L, 175 000 km",21 000,AZN
Hyundai Accent,"2019, 1.6 L, 87 222 km",20 900,AZN
Mercedes GLC 300,"2019, 2.0 L, 67 000 km",29 900,$
Mercedes C 43 AMG 4MATIC,"2022, 2.0 L, 25 200 km",78 000,$
Nissan Note,"2017, 1.2 L, 47 000 km",17 700,AZN
Nissan Note,"2017, 1.2 L, 46 000 km",18 400,AZN
Nissan Note,"2018, 1.2 L, 41 000 km",16 400,AZN
Hyundai Sonata,"2015, 2.4 L, 161 000 km",17 900,AZN
Infiniti FX35,"2006, 3.5 L, 190 400 km",17 400,AZN
Hyundai Santa Fe,"2019, 2.2 L, 154 752 km",47 500,AZN
Hyundai Santa Fe,"2016, 2.0 L, 167 250 km",32 000,AZN
Mitsubishi ASX,"2012, 2.0 L, 220 000 km",16 500,AZN
Toyota Land Cruiser,"2012, 4.0 L, 220 000 km",32 000,$
Hyundai Santa Fe,"2016, 2.0 L, 167 250 km",32 000,AZN
BMW X5,"2016, 3.0 L, 86 000 km",37 900,$
BMW 528,"2016, 2.0 L, 152 888 km",16 500,$
Mercedes E 240,"1999, 2.4 L, 458 000 km",15 000,AZN
BMW 528,"2016, 2.0 L, 186 000 km",29 999,AZN
Kia Rio,"2007, 1.5 L, 276 800 km",10 777,AZN
Toyota Land Cruiser Prado,"2013, 2.7 L, 136 500 km",36 900,AZN
Skoda Octavia,"2024, 1.5 L, 3 000 km",48 000,AZN
BMW X7,"2023, 3.0 L, 27 500 km",135 000,$
Mercedes GLE 350 4MATIC Coupe,"2023, 2.0 L, 25 000 km",93 000,$
Toyota Corolla Cross,"2025, 2.0 L, 0 km",33 850,AZN
Land Rover RR Sport,"2015, 3.0 L, 56 000 km",37 000,$
Kia Stinger,"2018, 2.0 L, 89 000 km",34 400,AZN
Hyundai Elantra,"2014, 1.8 L, 155 000 km",20 000,AZN
Audi Q7,"2019, 2.0 L, 104 500 km",36 000,$
Hyundai i30,"2009, 1.6 L, 223 000 km",16 900,AZN
Mercedes E 200 d,"2016, 2.0 L, 125 000 km",32 500,$
BMW 528,"2016, 2.0 L, 132 000 km",21 000,$
Kia Sorento,"2023, 1.6 L, 46 000 km",58 500,AZN
GMC Sierra,"2022, 3.0 L, 22 500 km",129 000,$
Mazda CX-7,"2012, 2.3 L, 82 800 km",19 000,AZN
Toyota Frontlander,"2025, 2.0 L, 0 km",39 000,AZN
Chevrolet Cruze,"2015, 1.4 L, 190 000 km",15 800,AZN
Kia Forte,"2019, 2.0 L, 53 300 km",26 500,AZN
BMW 530,"2020, 2.0 L, 105 000 km",40 500,$
Mercedes S 63 AMG 4MATIC,"2014, 5.5 L, 56 000 km",57 000,$
Toyota Aqua,"2017, 1.5 L, 175 000 km",16 299,AZN
Mercedes Vito,"2009, 2.2 L, 325 612 km",27 500,AZN
Mini Countryman,"2013, 1.6 L, 158 000 km",21 800,AZN
Porsche Cayenne Turbo,"2011, 4.8 L, 231 000 km",30 900,AZN
Chevrolet Cruze,"2015, 1.4 L, 190 000 km",15 800,AZN
Hyundai Elantra,"2014, 1.8 L, 155 000 km",20 000,AZN
Mercedes C 230,"1999, 2.3 L, 295 000 km",12 400,AZN
BMW X5,"2016, 2.0 L, 128 700 km",29 700,$
Chevrolet Cruze,"2014, 1.4 L, 145 700 km",13 800,AZN
Land Rover Range Rover,"2016, 3.0 L, 160 000 km",65 500,AZN
Hyundai Avante,"2009, 1.6 L, 220 000 km",12 500,AZN
Chevrolet Cruze,"2014, 1.4 L, 205 272 km",11 700,AZN
Volkswagen Polo,"2010, 1.2 L, 230 000 km",5 000,$
Kia ProCeed,"2020, 1.4 L, 61 000 km",41 900,AZN
BMW 530e,"2018, 2.0 L, 172 000 km",34 943,AZN
Nissan Micra,"2012, 1.2 L, 133 000 km",11 900,AZN
Land Rover RR Sport,"2020, 3.0 L, 115 500 km",49 000,$
Toyota Prius,"2008, 1.5 L, 328 504 km",12 900,AZN
Hyundai Santa Fe,"2008, 2.0 L, 276 800 km",21 800,AZN
Kia Rio,"2013, 1.6 L, 256 800 km",14 500,AZN
ATV Hummer 250,"2022, 300 sm3, 500 km",5 800,AZN
Lexus GS 300h,"2018, 2.5 L, 109 000 km",37 699,$
Mercedes C 300,"2015, 2.0 L, 87 000 km",19 900,$
BMW X5,"2015, 3.0 L, 216 000 km",31 900,$
